time,ax,ay,az
0.02,0.23986,-0.021288,0.423608
0.04,0.312117,-0.028603,0.494005
0.06,0.393998,0.159239,0.552595
0.08,0.570269,0.416844,0.099565
0.1,0.390697,1.115444,0.228512
0.12,0.592609,2.200897,-0.068469
0.14,0.381921,3.511563,-0.247215
0.16,0.71399,4.387828,-0.420471
0.18,0.573537,4.406097,-0.775837
0.2,0.547546,2.843251,-1.102719
0.22,0.273725,1.631704,-0.64304
0.24,0.348265,0.619871,-0.672599
0.26,-0.030504,0.448139,-0.828307
0.28,0.002085,0.66847,-0.633025
0.3,-0.096731,0.947588,-0.56445
0.32,-0.369796,1.108209,-0.581742
0.34,-0.313335,1.585043,-0.009861
0.36,-0.603834,1.57977,-0.075579
0.38,-0.335867,1.767631,0.113621
0.4,-0.375421,1.279578,-0.045499
0.42,-0.679385,1.041633,0.122534
0.44,-0.574199,0.519963,0.445612
0.46,-0.42083,0.33389,0.969913
0.48,-0.359556,-0.036896,0.63451
0.5,-0.477408,0.218362,0.694214
0.52,-0.245363,0.15757,0.691479
0.54,-0.149063,-0.366465,0.617629
0.56,-0.055014,0.084044,0.899289
0.58,0.161001,0.058685,0.64903
0.6,0.451763,0.214253,0.536677
0.62,0.247965,0.333035,0.399317
0.64,0.673845,0.497443,0.464231
0.66,0.501215,1.602225,0.008914
0.68,0.514571,2.299917,-0.210202
0.7,0.812314,3.997993,-0.253854
0.72,0.218732,4.635422,-0.425251
0.74,0.439621,3.938656,-0.634505
0.76,0.701239,2.631917,-0.79155
0.78,0.544629,1.46836,-0.838181
0.8,0.235541,0.480763,-0.766796
0.82,-0.091307,0.61941,-0.77481
0.84,0.297319,0.612138,-0.506435
0.86,-0.373715,0.884762,-0.56258
0.88,-0.040316,1.011566,-0.331092
0.9,-0.322025,2.002046,-0.217022
0.92,-0.490547,1.691369,-0.338801
0.94,-0.531284,1.561954,0.331494
0.96,-0.685931,1.263917,-0.028318
0.98,-0.657,0.809062,0.498657
1.0,-0.353419,0.392805,0.356399
1.02,-0.445838,0.282712,0.719962
1.04,-0.537229,0.29403,0.748703
1.06,-0.222863,0.276098,0.878743
1.08,-0.163808,0.436217,0.835629
1.1,-0.119595,0.023659,0.992499
1.12,0.078024,0.105289,0.881222
1.14,0.115637,-0.335717,0.642797
1.16,0.349565,-0.071331,0.594107
1.18,0.512725,0.00421,0.383127
1.2,0.477181,0.337258,0.199728
1.22,0.559012,1.376682,0.029905
1.24,0.669381,2.718475,-0.166333
1.26,0.748427,3.919582,-0.335569
1.28,0.566208,4.946623,-0.818357
1.3,0.610889,3.776369,-0.67289
1.32,0.706828,2.535949,-0.407052
1.34,0.248783,1.394948,-0.864291
1.36,0.088963,0.634464,-0.840239
1.38,0.090591,0.018064,-0.464024
1.4,-0.100249,0.967564,-0.84306
1.42,-0.162905,1.638122,-0.714796
1.44,-0.552132,1.329973,-0.376037
1.46,-0.328184,2.001016,-0.325268
1.48,-0.754854,1.689635,0.074119
1.5,-0.500785,1.13228,0.063331
1.52,-0.387955,1.524661,0.32985
1.54,-0.547882,0.419283,0.283607
1.56,-0.55356,0.441433,0.640725
1.58,-0.570089,-0.083969,0.552425
1.6,-0.584274,0.181607,0.403558
1.62,-0.352166,0.10607,1.021779
1.64,-0.16753,0.204374,0.736279
1.66,-0.156857,-0.133992,0.987323
1.68,0.239269,0.099692,1.181227
1.7,0.216024,0.13825,0.61656
1.72,0.307079,0.533356,0.656086
1.74,0.232586,0.187615,0.332108
1.76,0.639588,0.518259,-0.246361
1.78,0.289158,1.776249,-0.104077
1.8,0.650599,2.985633,-0.448288
1.82,0.288555,4.314122,-0.371718
1.84,0.703995,4.59471,-0.596641
1.86,0.692193,3.550816,-0.779027
1.88,0.32152,2.121287,-1.081992
1.9,0.312501,1.169077,-0.850128
1.92,0.056695,0.615522,-0.536372
1.94,0.035885,0.352046,-0.840288
1.96,-0.115477,0.439235,-0.689738
1.98,-0.225647,1.472517,-0.414624
2.0,-0.197567,1.381633,-0.312519
2.02,-0.623458,1.839081,-0.186018
2.04,-0.644336,2.142727,0.013133
2.06,-0.864638,1.548956,0.047437
2.08,-0.599367,1.091874,0.342121
2.1,-0.895245,0.351737,0.559982
2.12,-0.353964,0.667342,0.852486
2.14,-0.789271,0.272439,0.402838
2.16,-0.146193,0.091904,0.59221
2.18,0.025737,0.140861,0.513925
2.2,-0.105194,-0.143257,0.807869
2.22,-0.084857,0.275314,0.530952
2.24,0.167437,0.366257,0.535744
2.26,0.280223,0.061086,0.438063
2.28,0.461942,0.115977,0.254094
2.3,0.72661,0.506194,0.204577
2.32,0.440804,0.810161,0.236569
2.34,0.561007,2.166304,-0.156101
2.36,0.692414,3.410676,-0.187673
2.38,0.558879,4.552418,-0.359812
2.4,0.525405,4.152863,-0.736638
2.42,0.360663,3.097412,-0.570356
2.44,0.369624,2.265608,-0.427257
2.46,0.265903,0.632057,-0.85612
2.48,0.12326,0.187213,-0.825521
2.5,0.043042,0.392169,-0.852113
2.52,-0.248376,1.131323,-0.672158
2.54,-0.386759,1.128014,-0.383397
2.56,-0.479318,1.697004,-0.268879
